node,sensor,time_band,uvi,irradiance,irradiance_unit
UV1,LTR390UV,08:00-09:00,3.1,7.78,W/m2
UV2,LTR390UV,08:00-09:00,4.8,12.05,W/m2
UV3,AS7331,08:00-09:00,6.1,154.25,mW/m2
UV1,LTR390UV,09:00-10:00,4.0,10.04,W/m2
UV2,LTR390UV,09:00-10:00,4.2,10.55,W/m2
UV3,AS7331,09:00-10:00,5.2,130.0,mW/m2
UV1,LTR390UV,12:00-13:00,10.3,25.86,W/m2
UV2,LTR390UV,12:00-13:00,10.2,25.61,W/m2
UV3,AS7331,12:00-13:00,12.5,312.5,mW/m2
UV1,LTR390UV,13:00-14:00,10.6,26.62,W/m2
UV2,LTR390UV,13:00-14:00,12.5,31.39,W/m2
UV3,AS7331,13:00-14:00,13.58,339.5,mW/m2
UV1,LTR390UV,16:00-17:00,2.32,5.83,W/m2
UV2,LTR390UV,16:00-17:00,5.48,13.76,W/m2
UV3,AS7331,16:00-17:00,5.42,135.5,mW/m2
UV1,LTR390UV,17:00-18:00,2.31,5.8,W/m2
UV2,LTR390UV,17:00-18:00,2.23,5.6,W/m2
UV3,AS7331,17:00-18:00,2.5,62.5,mW/m2
